image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,textEndSceen.started,textEndSceen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,5.525048642999991,None,space,25.135644565000007,5.525048642999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
,,,,,,,,,,,,,,,,,,,30.662077905999922,None,space,0.7336738230000037,30.662077905999922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,0,0,54,,,,,,,,,,,,,31.42115004099992,None,31.42115004099992,None,31.42115004099992,None,32.43860053000003,None,32.43860053000003,None,32.43860053000003,None,0.05,0.2,32.614708232,32.73982245399998,32.614708232,32.73982245399998,32.614708232,32.73982245399998,space,2.548536820000095,32.614708232,None,35.16565228899992,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.0,0.15,0,1,1,11,,,,,,,,,,,,,35.667052791999936,None,35.667052791999936,None,35.667052791999936,None,36.703556542,None,36.703556542,None,36.703556542,None,0.5,0.65,36.85652501499999,37.00508314900003,36.85652501499999,37.00508314900003,36.85652501499999,37.00508314900003,space,0.24903062099997442,36.85652501499999,None,37.10748369199996,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,2,2,40,,,,,,,,,,,,,37.607458037000015,None,37.607458037000015,None,37.607458037000015,None,38.644439068,None,38.644439068,None,38.644439068,None,0.0,0.15,38.79932601099995,38.952305492999926,38.79932601099995,38.952305492999926,38.79932601099995,38.952305492999926,space,0.18613552600004368,38.79932601099995,None,38.98788793099993,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,3,3,43,,,,,,,,,,,,,39.489590446999955,None,39.489590446999955,None,39.489590446999955,None,40.526269989999946,None,40.526269989999946,None,40.526269989999946,None,0.0,0.15,40.67864384899997,40.827342379000015,40.67864384899997,40.827342379000015,40.67864384899997,40.827342379000015,space,0.20385929600001873,40.67864384899997,None,40.884820228999956,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,4,4,51,,,,,,,,,,,,,41.38650281399998,None,41.38650281399998,None,41.38650281399998,None,42.42471070099998,None,42.42471070099998,None,42.42471070099998,None,0.1,0.25,42.58368115399992,42.74184386699994,42.58368115399992,42.74184386699994,42.58368115399992,42.74184386699994,space,0.19020591699995748,42.58368115399992,None,42.77645925899992,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,images/light_grey_box,0,0.5,0.65,0,5,5,106,,,,,,,,,,,,,43.27675653199992,None,43.27675653199992,None,43.27675653199992,None,44.31362276599998,None,44.31362276599998,None,44.31362276599998,None,0.3,0.44999999999999996,44.470615802,44.61831788099994,44.470615802,44.61831788099994,44.470615802,44.61831788099994,space,0.1940028760000132,44.470615802,None,44.66705694699999,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,6,6,60,,,,,,,,,,,,,45.16790375300002,None,45.16790375300002,None,45.16790375300002,None,46.20681526399994,None,46.20681526399994,None,46.20681526399994,None,0.1,0.25,46.365736365999965,46.503259703000026,46.365736365999965,46.503259703000026,46.365736365999965,46.503259703000026,space,1.9219709120000061,46.365736365999965,None,48.29039960299997,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,7,7,64,,,,,,,,,,,,,48.79012762299999,None,48.79012762299999,None,48.79012762299999,None,49.829231610999955,None,49.829231610999955,None,49.829231610999955,None,0.3,0.44999999999999996,49.98092304099998,50.13093449500002,49.98092304099998,50.13093449500002,49.98092304099998,50.13093449500002,space,0.21401948400000492,49.98092304099998,None,50.197397034999995,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.05,0.2,0,8,8,37,,,,,,,,,,,,,50.69720799100003,None,50.69720799100003,None,50.69720799100003,None,51.73468145999993,None,51.73468145999993,None,51.73468145999993,None,0.5,0.65,51.89947894699992,52.03576581899995,51.89947894699992,52.03576581899995,51.89947894699992,52.03576581899995,space,2.498564532000046,51.89947894699992,None,54.40035698299994,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,images/light_grey_box,0,0.05,0.2,0,9,9,26,,,,,,,,,,,,,54.900558864999994,None,54.900558864999994,None,54.900558864999994,None,55.93755448699994,None,55.93755448699994,None,55.93755448699994,None,0.1,0.25,56.09424790799994,None,56.09424790799994,None,56.09424790799994,None,space,0.09169638899993515,56.09424790799994,None,56.188302389,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,images/light_grey_box,0,0.1,0.25,0,10,10,46,,,,,,,,,,,,,56.687971371,None,56.687971371,None,56.687971371,None,57.726236985000014,None,57.726236985000014,None,57.726236985000014,None,0.1,0.25,57.883350361,58.02420973799997,57.883350361,58.02420973799997,57.883350361,58.02420973799997,space,0.16929524499994386,57.883350361,None,58.055060948000005,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.1,0.25,0,11,11,47,,,,,,,,,,,,,58.555772849999926,None,58.555772849999926,None,58.555772849999926,None,59.595633196999984,None,59.595633196999984,None,59.595633196999984,None,0.2,0.35,59.743069660999936,None,59.743069660999936,None,59.743069660999936,None,space,0.13149702700002308,59.743069660999936,None,59.87723520999998,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,12,12,91,,,,,,,,,,,,,60.37778403799996,None,60.37778403799996,None,60.37778403799996,None,61.41699554799993,None,61.41699554799993,None,61.41699554799993,None,0.3,0.44999999999999996,61.576363122999965,61.71076175399992,61.576363122999965,61.71076175399992,61.576363122999965,61.71076175399992,space,0.13462180299995907,61.576363122999965,None,61.713400019000005,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.2,0.35,0,13,13,67,,,,,,,,,,,,,62.215292222000016,None,62.215292222000016,None,62.215292222000016,None,63.25131123599999,None,63.25131123599999,None,63.25131123599999,None,0.2,0.35,63.40364334000003,None,63.40364334000003,None,63.40364334000003,None,space,0.07893171300008817,63.40364334000003,None,63.48501014599992,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,14,14,115,,,,,,,,,,,,,63.98558946100002,None,63.98558946100002,None,63.98558946100002,None,65.02038879700001,None,65.02038879700001,None,65.02038879700001,None,0.05,0.2,65.17382379999992,65.32144939,65.17382379999992,65.32144939,65.17382379999992,65.32144939,space,0.259932645000049,65.17382379999992,None,65.43623637299993,None,,,10,001,2020_Apr_18_1922,experiment,2020.1.3,610.9776803744135,
