image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,53.995516199967824,None,space,78.04416340001626,53.995516199967824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
,,,,,,,,,,,,,,,,,,,132.0822604999994,None,space,4.055883900029585,132.0822604999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,0,0,115,,,,,,,,,,,,,136.91207309998572,None,136.91207309998572,None,136.91207309998572,None,137.22084009996615,None,137.22084009996615,None,137.22084009996615,None,0.5,0.65,137.44664059998468,137.61324099998455,137.44664059998468,137.61324099998455,137.44664059998468,137.61324099998455,space,2.8444707000162452,137.44664059998468,None,140.31540570000652,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,1,1,64,,,,,,,,,,,,,140.82962460001,None,140.82962460001,None,140.82962460001,None,141.86996280000312,None,141.86996280000312,None,141.86996280000312,None,0.0,0.15,141.99306890001753,142.16240179998567,141.99306890001753,142.16240179998567,141.99306890001753,142.16240179998567,space,0.4911361000267789,141.99306890001753,None,142.5152707999805,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.0,0.15,0,2,2,12,,,,,,,,,,,,,143.02988330001244,None,143.02988330001244,None,143.02988330001244,None,144.0479274999816,None,144.0479274999816,None,144.0479274999816,None,0.1,0.25,144.2784818999935,144.39518639998278,144.2784818999935,144.39518639998278,144.2784818999935,144.39518639998278,space,4.3055117999901995,144.2784818999935,None,148.61171779996948,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,3,3,110,,,,,,,,,,,,,149.1110663000145,None,149.1110663000145,None,149.1110663000145,None,150.12463899998693,None,150.12463899998693,None,150.12463899998693,None,0.2,0.35,150.32795359997544,150.47759909997694,150.32795359997544,150.47759909997694,150.32795359997544,150.47759909997694,space,0.4847069999668747,150.32795359997544,None,150.84476519998861,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.3,0.45,0,4,4,98,,,,,,,,,,,,,151.3441124999663,None,151.3441124999663,None,151.3441124999663,None,152.3584123000037,None,152.3584123000037,None,152.3584123000037,None,0.2,0.35,152.52140279999003,152.79358900000807,152.52140279999003,152.79358900000807,152.52140279999003,152.79358900000807,space,5.077230800001416,152.52140279999003,None,157.6267233999679,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,5,5,76,,,,,,,,,,,,,158.14244399999734,None,158.14244399999734,None,158.14244399999734,None,159.15208410000196,None,159.15208410000196,None,159.15208410000196,None,0.1,0.25,159.32318010000745,159.49219279998215,159.32318010000745,159.49219279998215,159.32318010000745,159.49219279998215,space,0.400209299987182,159.32318010000745,None,159.7430580999935,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,6,6,65,,,,,,,,,,,,,160.2587195999804,None,160.2587195999804,None,160.2587195999804,None,161.27063380001346,None,161.27063380001346,None,161.27063380001346,None,0.3,0.44999999999999996,161.45845289999852,161.69213310000487,161.45845289999852,161.69213310000487,161.45845289999852,161.69213310000487,space,0.3445236999541521,161.45845289999852,None,161.82628330000443,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.5,0.65,0,7,7,117,,,,,,,,,,,,,162.34160759998485,None,162.34160759998485,None,162.34160759998485,None,163.3542829999933,None,163.3542829999933,None,163.3542829999933,None,0.5,0.65,163.50714739999967,163.72475290001603,163.50714739999967,163.72475290001603,163.50714739999967,163.72475290001603,space,0.6083452999591827,163.50714739999967,None,164.14277619996574,None,2,001,2020_Apr_15_1916,experiment,2020.1.3,60.04285861126721,
