image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,textEndSceen.started,textEndSceen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,10.585382505087182,None,space,7.347630868083797,10.585382505087182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
,,,,,,,,,,,,,,,,,,,17.947081211023033,None,space,2.356878240010701,17.947081211023033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,0,0,73,,,,,,,,,,,,,20.351981418090872,None,20.351981418090872,None,20.351981418090872,None,21.342925165081397,None,21.342925165081397,None,21.342925165081397,None,0.05,0.2,21.56018580205273,21.625510336016305,21.56018580205273,21.625510336016305,21.56018580205273,21.625510336016305,space,0.3027452549431473,21.56018580205273,None,21.877613337012008,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,1,1,50,,,,,,,,,,,,,22.39242084301077,None,22.39242084301077,None,22.39242084301077,None,23.409744541044347,None,23.409744541044347,None,23.409744541044347,None,0.3,0.44999999999999996,23.556510088033974,23.758849721052684,23.556510088033974,23.758849721052684,23.556510088033974,23.758849721052684,space,0.3064659850206226,23.556510088033974,None,23.876239741104655,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.0,0.15,0,2,2,19,,,,,,,,,,,,,24.391597970039584,None,24.391597970039584,None,24.391597970039584,None,25.405807316070423,None,25.405807316070423,None,25.405807316070423,None,0.05,0.2,25.590780483093113,25.807555650011636,25.590780483093113,25.807555650011636,25.590780483093113,25.807555650011636,space,0.23933479795232415,25.590780483093113,None,25.844025567057543,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,3,3,111,,,,,,,,,,,,,26.35820753907319,None,26.35820753907319,None,26.35820753907319,None,27.371489340090193,None,27.371489340090193,None,27.371489340090193,None,0.5,0.65,27.590814891038463,None,27.590814891038463,None,27.590814891038463,None,space,0.12127145298290998,27.590814891038463,None,27.725984442047775,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,4,4,24,,,,,,,,,,,,,28.241733313072473,None,28.241733313072473,None,28.241733313072473,None,29.25620826310478,None,29.25620826310478,None,29.25620826310478,None,0.2,0.35,29.508406990091316,29.591812973027118,29.508406990091316,29.591812973027118,29.508406990091316,29.591812973027118,space,0.1712629470275715,29.508406990091316,None,29.693895564065315,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,5,5,41,,,,,,,,,,,,,30.207443193998188,None,30.207443193998188,None,30.207443193998188,None,31.222552214050665,None,31.222552214050665,None,31.222552214050665,None,0.2,0.35,31.396104205050506,None,31.396104205050506,None,31.396104205050506,None,space,0.15037023404147476,31.396104205050506,None,31.56035690603312,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.3,0.45,0,6,6,98,,,,,,,,,,,,,32.07501580310054,None,32.07501580310054,None,32.07501580310054,None,33.08853910607286,None,33.08853910607286,None,33.08853910607286,None,0.2,0.35,33.258999495068565,None,33.258999495068565,None,33.258999495068565,None,space,0.13671132293529809,33.258999495068565,None,33.40986850799527,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.2,0.35,0,7,7,68,,,,,,,,,,,,,33.92493162408937,None,33.92493162408937,None,33.92493162408937,None,34.93976703903172,None,34.93976703903172,None,34.93976703903172,None,0.05,0.2,35.124625456053764,None,35.124625456053764,None,35.124625456053764,None,space,0.1386177089298144,35.124625456053764,None,35.27650633500889,None,,,ahilya,001,2020_Apr_17_2138,experiment,2020.1.3,60.183245941316784,
