image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,textEndSceen.started,textEndSceen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,6.618109399918467,None,space,3.6842935000313446,6.618109399918467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
,,,,,,,,,,,,,,,,,,,10.31861439999193,None,space,1.4669965000357479,10.31861439999193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,0,0,63,,,,,,,,,,,,,11.83536429994274,None,11.83536429994274,None,11.83536429994274,None,12.868741599959321,None,12.868741599959321,None,12.868741599959321,None,0.5,0.65,13.002172100008465,13.202126699965447,13.002172100008465,13.202126699965447,13.002172100008465,13.202126699965447,space,0.23357839998789132,13.002172100008465,None,13.252115999930538,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,1,1,33,,,,,,,,,,,,,13.752160499920137,None,13.752160499920137,None,13.752160499920137,None,14.752163999946788,None,14.752163999946788,None,14.752163999946788,None,0.3,0.44999999999999996,14.952250099973753,15.068938300013542,14.952250099973753,15.068938300013542,14.952250099973753,15.068938300013542,space,0.1503692000405863,14.952250099973753,None,15.118917600018904,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,2,2,65,,,,,,,,,,,,,15.618965999921784,None,15.618965999921784,None,15.618965999921784,None,16.619089699932374,None,16.619089699932374,None,16.619089699932374,None,0.0,0.15,16.835737199988216,16.952414999948815,16.835737199988216,16.952414999948815,16.835737199988216,16.952414999948815,space,0.133740600082092,16.835737199988216,None,16.98575519991573,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.2,0.35,0,3,3,68,,,,,,,,,,,,,17.48579049995169,None,17.48579049995169,None,17.48579049995169,None,18.485897699953057,None,18.485897699953057,None,18.485897699953057,None,0.0,0.15,18.669171200017445,18.785920699941926,18.669171200017445,18.785920699941926,18.669171200017445,18.785920699941926,space,3.3672446999698877,18.669171200017445,None,22.052814799943008,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,4,4,91,,,,,,,,,,,,,22.552869500010274,None,22.552869500010274,None,22.552869500010274,None,23.552963699912652,None,23.552963699912652,None,23.552963699912652,None,0.3,0.44999999999999996,23.702960799913853,23.886273399926722,23.702960799913853,23.886273399926722,23.702960799913853,23.886273399926722,space,2.3172461999347433,23.702960799913853,None,26.036426999955438,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,images/light_grey_box,0,0.1,0.25,0,5,5,46,,,,,,,,,,,,,26.536467799916863,None,26.536467799916863,None,26.536467799916863,None,27.536506699980237,None,27.536506699980237,None,27.536506699980237,None,0.05,0.2,27.753249499946833,None,27.753249499946833,None,27.753249499946833,None,space,0.06703249993734062,27.753249499946833,None,27.8365807000082,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.1,0.25,0,6,6,58,,,,,,,,,,,,,28.336622599978,None,28.336622599978,None,28.336622599978,None,29.336703400011174,None,29.336703400011174,None,29.336703400011174,None,0.5,0.65,29.50334669998847,None,29.50334669998847,None,29.50334669998847,None,space,0.0838673000689596,29.50334669998847,None,29.603379699983634,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,7,7,36,,,,,,,,,,,,,30.10341250000056,None,30.10341250000056,None,30.10341250000056,None,31.103489800007083,None,31.103489800007083,None,31.103489800007083,None,0.05,0.2,31.253515199990943,None,31.253515199990943,None,31.253515199990943,None,space,0.06698230002075434,31.253515199990943,None,31.336836999980733,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
